kode_produk;tgl_berlaku;tanggal_berlaku;harga_berlaku_cabang;modal_cabang;biaya_cabang
PROD-0000001;11/04/2020 00:00;2020-04-11;11320;10820;70
PROD-0000001;12/04/2020 00:00;2020-04-12;11350;10780;210
PROD-0000001;13/04/2020 00:00;2020-04-13;11410;10810;80
PROD-0000001;14/04/2020 00:00;2020-04-14;11230;10670;150
PROD-0000001;15/04/2020 00:00;2020-04-15;11320;10750;180
PROD-0000001;16/04/2020 00:00;2020-04-16;11410;10840;70
PROD-0000001;17/04/2020 00:00;2020-04-17;11250;10750;20
PROD-0000001;18/04/2020 00:00;2020-04-18;11430;10860;280
PROD-0000001;19/04/2020 00:00;2020-04-19;11120;10560;230
PROD-0000001;20/04/2020 00:00;2020-04-20;11330;10710;210
PROD-0000001;21/04/2020 00:00;2020-04-21;11370;10800;240
PROD-0000001;22/04/2020 00:00;2020-04-22;11140;10490;200
PROD-0000001;23/04/2020 00:00;2020-04-23;11320;10760;200
PROD-0000001;24/04/2020 00:00;2020-04-24;11160;10600;10
PROD-0000001;25/04/2020 00:00;2020-04-25;11170;10610;190
PROD-0000001;26/04/2020 00:00;2020-04-26;11340;10780;70
PROD-0000001;27/04/2020 00:00;2020-04-27;11190;10590;210
PROD-0000001;28/04/2020 00:00;2020-04-28;11370;10910;130
PROD-0000001;29/04/2020 00:00;2020-04-29;11270;10710;230
PROD-0000001;30/04/2020 00:00;2020-04-30;11190;10630;270
PROD-0000001;01/05/2020 00:00;2020-05-01;11420;10770;0
PROD-0000001;02/05/2020 00:00;2020-05-02;11270;10710;120
PROD-0000001;03/05/2020 00:00;2020-05-03;11400;10710;150
PROD-0000001;04/05/2020 00:00;2020-05-04;11470;10970;110
PROD-0000001;05/05/2020 00:00;2020-05-05;11470;10890;260
PROD-0000001;06/05/2020 00:00;2020-05-06;11220;10660;180
PROD-0000001;07/05/2020 00:00;2020-05-07;11420;10850;20
PROD-0000001;08/05/2020 00:00;2020-05-08;11260;10700;240
PROD-0000001;09/05/2020 00:00;2020-05-09;11510;10880;200
PROD-0000001;10/05/2020 00:00;2020-05-10;11360;10790;70
PROD-0000001;11/05/2020 00:00;2020-05-11;11330;10880;220
PROD-0000001;12/05/2020 00:00;2020-05-12;11470;10900;10
PROD-0000001;13/05/2020 00:00;2020-05-13;11260;10700;140
PROD-0000001;14/05/2020 00:00;2020-05-14;11540;10890;70
PROD-0000001;15/05/2020 00:00;2020-05-15;11350;10790;30
PROD-0000001;16/05/2020 00:00;2020-05-16;11610;11030;260
PROD-0000001;17/05/2020 00:00;2020-05-17;11290;10720;110
PROD-0000001;18/05/2020 00:00;2020-05-18;11360;10790;120
PROD-0000001;19/05/2020 00:00;2020-05-19;11310;10760;210
PROD-0000001;20/05/2020 00:00;2020-05-20;11290;10760;190
PROD-0000001;21/05/2020 00:00;2020-05-21;11510;10980;200
PROD-0000001;22/05/2020 00:00;2020-05-22;11450;10880;260
PROD-0000001;23/05/2020 00:00;2020-05-23;11490;11000;220
PROD-0000001;24/05/2020 00:00;2020-05-24;11520;10940;150
PROD-0000001;25/05/2020 00:00;2020-05-25;11350;10860;100
PROD-0000001;26/05/2020 00:00;2020-05-26;11380;10810;270
PROD-0000001;27/05/2020 00:00;2020-05-27;11540;10960;140
PROD-0000001;28/05/2020 00:00;2020-05-28;11380;10790;60
PROD-0000001;29/05/2020 00:00;2020-05-29;11520;10940;280
PROD-0000001;30/05/2020 00:00;2020-05-30;11400;10780;210
PROD-0000001;31/05/2020 00:00;2020-05-31;11470;10900;70
PROD-0000001;01/06/2020 00:00;2020-06-01;11510;10910;200
PROD-0000001;02/06/2020 00:00;2020-06-02;11500;11020;20
PROD-0000001;03/06/2020 00:00;2020-06-03;11640;10980;220
PROD-0000001;04/06/2020 00:00;2020-06-04;11670;11080;10
PROD-0000001;05/06/2020 00:00;2020-06-05;11530;10950;160
PROD-0000001;06/06/2020 00:00;2020-06-06;11440;10890;20
PROD-0000001;07/06/2020 00:00;2020-06-07;11450;10880;30
PROD-0000001;08/06/2020 00:00;2020-06-08;11510;10850;180
PROD-0000001;09/06/2020 00:00;2020-06-09;11480;10800;250
PROD-0000001;10/06/2020 00:00;2020-06-10;11600;10910;130
PROD-0000001;11/06/2020 00:00;2020-06-11;11460;10890;70
PROD-0000001;12/06/2020 00:00;2020-06-12;11370;10800;280
PROD-0000001;13/06/2020 00:00;2020-06-13;11570;10990;260
PROD-0000001;14/06/2020 00:00;2020-06-14;11430;10970;50
PROD-0000001;15/06/2020 00:00;2020-06-15;11590;11010;250
PROD-0000001;16/06/2020 00:00;2020-06-16;11530;10950;70
PROD-0000001;17/06/2020 00:00;2020-06-17;11460;10890;30
PROD-0000001;18/06/2020 00:00;2020-06-18;11460;10890;80
PROD-0000001;19/06/2020 00:00;2020-06-19;11430;10870;200
PROD-0000001;20/06/2020 00:00;2020-06-20;11360;10800;260
PROD-0000001;21/06/2020 00:00;2020-06-21;11500;11010;130
PROD-0000001;22/06/2020 00:00;2020-06-22;11390;10820;100
PROD-0000001;23/06/2020 00:00;2020-06-23;11550;10970;280
PROD-0000001;24/06/2020 00:00;2020-06-24;11690;10990;20
PROD-0000001;25/06/2020 00:00;2020-06-25;11530;10950;140
PROD-0000001;26/06/2020 00:00;2020-06-26;11620;11030;210
PROD-0000001;27/06/2020 00:00;2020-06-27;11480;10800;90
PROD-0000001;28/06/2020 00:00;2020-06-28;11650;10960;70
PROD-0000001;29/06/2020 00:00;2020-06-29;11600;11020;120
PROD-0000001;30/06/2020 00:00;2020-06-30;11440;10780;130
PROD-0000001;01/07/2020 00:00;2020-07-01;11740;11160;220
PROD-0000001;02/07/2020 00:00;2020-07-02;11750;11210;60
PROD-0000001;03/07/2020 00:00;2020-07-03;11700;11140;110
PROD-0000001;04/07/2020 00:00;2020-07-04;11470;10890;280
PROD-0000001;05/07/2020 00:00;2020-07-05;11630;11050;280
PROD-0000001;06/07/2020 00:00;2020-07-06;11700;11110;150
PROD-0000001;07/07/2020 00:00;2020-07-07;11700;11030;30
PROD-0000001;08/07/2020 00:00;2020-07-08;11680;11210;110
PROD-0000001;09/07/2020 00:00;2020-07-09;11490;10970;220
PROD-0000001;10/07/2020 00:00;2020-07-10;11790;11110;80
PROD-0000001;11/07/2020 00:00;2020-07-11;11700;11110;130
PROD-0000001;12/07/2020 00:00;2020-07-12;11680;11090;220
PROD-0000001;13/07/2020 00:00;2020-07-13;11580;11060;240
PROD-0000001;14/07/2020 00:00;2020-07-14;11490;10920;200
PROD-0000001;15/07/2020 00:00;2020-07-15;11820;11280;120
PROD-0000001;16/07/2020 00:00;2020-07-16;11560;11080;250
PROD-0000001;17/07/2020 00:00;2020-07-17;11630;11020;240
PROD-0000001;18/07/2020 00:00;2020-07-18;11490;11010;200
PROD-0000001;19/07/2020 00:00;2020-07-19;11580;10980;160
PROD-0000001;20/07/2020 00:00;2020-07-20;11560;10890;230
PROD-0000001;21/07/2020 00:00;2020-07-21;11630;11020;90
PROD-0000001;22/07/2020 00:00;2020-07-22;11610;11080;40
PROD-0000001;23/07/2020 00:00;2020-07-23;11510;10900;230
PROD-0000001;24/07/2020 00:00;2020-07-24;11560;10900;280
PROD-0000001;25/07/2020 00:00;2020-07-25;11580;11000;160
PROD-0000001;26/07/2020 00:00;2020-07-26;11490;10860;180
PROD-0000001;27/07/2020 00:00;2020-07-27;11670;11090;10
PROD-0000001;28/07/2020 00:00;2020-07-28;11580;10930;280
PROD-0000001;29/07/2020 00:00;2020-07-29;11820;11230;50
PROD-0000001;30/07/2020 00:00;2020-07-30;11650;11070;240
PROD-0000001;31/07/2020 00:00;2020-07-31;11540;10960;130
PROD-0000001;01/08/2020 00:00;2020-08-01;11800;11270;0
PROD-0000001;02/08/2020 00:00;2020-08-02;11830;11320;110
PROD-0000001;03/08/2020 00:00;2020-08-03;11760;11120;280
PROD-0000001;04/08/2020 00:00;2020-08-04;11690;11110;130
PROD-0000001;05/08/2020 00:00;2020-08-05;11830;11240;0
PROD-0000001;06/08/2020 00:00;2020-08-06;11670;11080;160
PROD-0000001;07/08/2020 00:00;2020-08-07;11880;11210;170
PROD-0000001;08/08/2020 00:00;2020-08-08;11620;11040;170
PROD-0000001;09/08/2020 00:00;2020-08-09;11550;11060;80
PROD-0000001;10/08/2020 00:00;2020-08-10;11830;11160;240
PROD-0000001;11/08/2020 00:00;2020-08-11;11800;11140;210
PROD-0000001;12/08/2020 00:00;2020-08-12;11640;11010;150
PROD-0000001;13/08/2020 00:00;2020-08-13;11710;11190;110
PROD-0000001;14/08/2020 00:00;2020-08-14;11860;11230;140
PROD-0000001;15/08/2020 00:00;2020-08-15;11640;11170;220
PROD-0000001;16/08/2020 00:00;2020-08-16;11730;11140;280
PROD-0000001;17/08/2020 00:00;2020-08-17;11740;11260;120
PROD-0000001;18/08/2020 00:00;2020-08-18;11740;11210;280
PROD-0000001;19/08/2020 00:00;2020-08-19;11810;11250;220
PROD-0000001;20/08/2020 00:00;2020-08-20;11670;11180;270
PROD-0000001;21/08/2020 00:00;2020-08-21;11640;11060;80
PROD-0000001;22/08/2020 00:00;2020-08-22;11810;11240;30
PROD-0000001;23/08/2020 00:00;2020-08-23;11640;10960;30
PROD-0000001;24/08/2020 00:00;2020-08-24;11710;11080;230
PROD-0000001;25/08/2020 00:00;2020-08-25;11670;11070;30
PROD-0000001;26/08/2020 00:00;2020-08-26;11800;11210;210
PROD-0000001;27/08/2020 00:00;2020-08-27;11810;11220;210
PROD-0000001;28/08/2020 00:00;2020-08-28;11900;11310;140
PROD-0000001;29/08/2020 00:00;2020-08-29;11570;11090;30
PROD-0000001;30/08/2020 00:00;2020-08-30;11690;11040;150
PROD-0000001;31/08/2020 00:00;2020-08-31;11860;11320;60
PROD-0000001;01/09/2020 00:00;2020-09-01;11990;11480;180
PROD-0000001;02/09/2020 00:00;2020-09-02;11810;11170;90
PROD-0000001;03/09/2020 00:00;2020-09-03;11840;11250;210
PROD-0000001;04/09/2020 00:00;2020-09-04;11960;11290;220
PROD-0000001;05/09/2020 00:00;2020-09-05;11840;11220;260
PROD-0000001;06/09/2020 00:00;2020-09-06;11630;10960;120
PROD-0000001;07/09/2020 00:00;2020-09-07;11680;11100;260
PROD-0000001;08/09/2020 00:00;2020-09-08;11890;11290;70
PROD-0000001;09/09/2020 00:00;2020-09-09;11790;11300;190
PROD-0000001;10/09/2020 00:00;2020-09-10;11720;11060;220
PROD-0000001;11/09/2020 00:00;2020-09-11;11860;11320;50
PROD-0000001;12/09/2020 00:00;2020-09-12;12060;11360;110
PROD-0000001;13/09/2020 00:00;2020-09-13;11960;11260;140
PROD-0000001;14/09/2020 00:00;2020-09-14;11800;11240;140
PROD-0000001;15/09/2020 00:00;2020-09-15;11820;11230;280
PROD-0000001;16/09/2020 00:00;2020-09-16;11860;11380;100
PROD-0000001;17/09/2020 00:00;2020-09-17;11910;11410;0
PROD-0000001;18/09/2020 00:00;2020-09-18;11930;11280;40
PROD-0000001;19/09/2020 00:00;2020-09-19;11720;11100;190
PROD-0000001;20/09/2020 00:00;2020-09-20;11720;11200;70
PROD-0000001;21/09/2020 00:00;2020-09-21;11890;11250;20
PROD-0000001;22/09/2020 00:00;2020-09-22;11750;11160;220
PROD-0000001;23/09/2020 00:00;2020-09-23;11750;11230;240
PROD-0000001;24/09/2020 00:00;2020-09-24;11840;11160;60
PROD-0000001;25/09/2020 00:00;2020-09-25;11930;11350;0
PROD-0000001;26/09/2020 00:00;2020-09-26;11960;11290;280
PROD-0000001;27/09/2020 00:00;2020-09-27;11940;11420;110
PROD-0000001;28/09/2020 00:00;2020-09-28;12010;11410;270
PROD-0000001;29/09/2020 00:00;2020-09-29;11790;11210;160
PROD-0000001;30/09/2020 00:00;2020-09-30;11860;11270;200
PROD-0000001;01/10/2020 00:00;2020-10-01;12020;11420;240
PROD-0000001;02/10/2020 00:00;2020-10-02;12120;11450;210
PROD-0000001;03/10/2020 00:00;2020-10-03;11940;11410;190
PROD-0000001;04/10/2020 00:00;2020-10-04;12090;11380;40
PROD-0000001;05/10/2020 00:00;2020-10-05;12070;11460;130
PROD-0000001;06/10/2020 00:00;2020-10-06;12000;11400;120
PROD-0000001;07/10/2020 00:00;2020-10-07;11850;11360;70
PROD-0000001;08/10/2020 00:00;2020-10-08;11860;11320;260
PROD-0000001;09/10/2020 00:00;2020-10-09;12070;11460;280
PROD-0000001;10/10/2020 00:00;2020-10-10;12000;11490;220
PROD-0000001;11/10/2020 00:00;2020-10-11;12090;11540;80
PROD-0000001;12/10/2020 00:00;2020-10-12;12000;11470;140
PROD-0000001;13/10/2020 00:00;2020-10-13;11850;11260;110
PROD-0000001;14/10/2020 00:00;2020-10-14;12020;11500;100
PROD-0000001;15/10/2020 00:00;2020-10-15;11850;11260;120
PROD-0000001;16/10/2020 00:00;2020-10-16;12020;11520;30
PROD-0000001;17/10/2020 00:00;2020-10-17;12140;11430;20
PROD-0000001;18/10/2020 00:00;2020-10-18;11780;11130;60
PROD-0000001;19/10/2020 00:00;2020-10-19;11970;11370;170
PROD-0000001;20/10/2020 00:00;2020-10-20;12100;11610;300
PROD-0000001;21/10/2020 00:00;2020-10-21;11970;11370;40
PROD-0000001;22/10/2020 00:00;2020-10-22;12140;11420;130
PROD-0000001;23/10/2020 00:00;2020-10-23;11740;11220;60
PROD-0000001;24/10/2020 00:00;2020-10-24;11900;11220;10
PROD-0000001;25/10/2020 00:00;2020-10-25;11920;11290;200
PROD-0000001;26/10/2020 00:00;2020-10-26;12090;11430;40
PROD-0000001;27/10/2020 00:00;2020-10-27;11900;11340;200
PROD-0000001;28/10/2020 00:00;2020-10-28;11920;11330;160
PROD-0000001;29/10/2020 00:00;2020-10-29;11950;11350;20
PROD-0000001;30/10/2020 00:00;2020-10-30;11900;11310;130
PROD-0000001;31/10/2020 00:00;2020-10-31;11930;11330;200
PROD-0000001;01/11/2020 00:00;2020-11-01;11930;11390;50
PROD-0000001;02/11/2020 00:00;2020-11-02;12180;11570;0
PROD-0000001;03/11/2020 00:00;2020-11-03;12200;11640;120
PROD-0000001;04/11/2020 00:00;2020-11-04;12030;11430;70
PROD-0000001;05/11/2020 00:00;2020-11-05;12130;11600;300
PROD-0000001;06/11/2020 00:00;2020-11-06;12060;11370;50
PROD-0000001;07/11/2020 00:00;2020-11-07;12230;11620;270
PROD-0000001;08/11/2020 00:00;2020-11-08;11910;11230;240
PROD-0000001;09/11/2020 00:00;2020-11-09;12110;11520;110
PROD-0000001;10/11/2020 00:00;2020-11-10;11930;11260;80
PROD-0000001;11/11/2020 00:00;2020-11-11;12130;11420;70
PROD-0000001;12/11/2020 00:00;2020-11-12;11880;11410;270
PROD-0000001;13/11/2020 00:00;2020-11-13;12030;11410;70
PROD-0000001;14/11/2020 00:00;2020-11-14;12080;11440;70
PROD-0000001;15/11/2020 00:00;2020-11-15;12100;11500;20
PROD-0000001;16/11/2020 00:00;2020-11-16;12110;11420;40
PROD-0000001;17/11/2020 00:00;2020-11-17;12080;11400;180
PROD-0000001;18/11/2020 00:00;2020-11-18;12010;11410;50
PROD-0000001;19/11/2020 00:00;2020-11-19;11910;11310;90
PROD-0000001;20/11/2020 00:00;2020-11-20;12080;11470;20
PROD-0000001;21/11/2020 00:00;2020-11-21;12080;11550;90
PROD-0000001;22/11/2020 00:00;2020-11-22;11940;11220;180
PROD-0000001;23/11/2020 00:00;2020-11-23;12060;11390;100
PROD-0000001;24/11/2020 00:00;2020-11-24;12130;11540;0
PROD-0000001;25/11/2020 00:00;2020-11-25;11830;11240;30
PROD-0000001;26/11/2020 00:00;2020-11-26;11960;11310;220
PROD-0000001;27/11/2020 00:00;2020-11-27;12100;11570;160
PROD-0000001;28/11/2020 00:00;2020-11-28;12120;11560;80
PROD-0000001;29/11/2020 00:00;2020-11-29;12060;11460;60
PROD-0000001;30/11/2020 00:00;2020-11-30;11980;11380;220
PROD-0000001;01/12/2020 00:00;2020-12-01;12310;11690;180
PROD-0000001;02/12/2020 00:00;2020-12-02;11990;11390;190
PROD-0000001;03/12/2020 00:00;2020-12-03;12190;11580;100
PROD-0000001;04/12/2020 00:00;2020-12-04;12090;11500;240
PROD-0000001;05/12/2020 00:00;2020-12-05;12240;11640;260
PROD-0000001;06/12/2020 00:00;2020-12-06;12090;11590;10
PROD-0000001;07/12/2020 00:00;2020-12-07;12170;11460;10
PROD-0000001;08/12/2020 00:00;2020-12-08;12170;11610;70
PROD-0000001;09/12/2020 00:00;2020-12-09;12190;11570;260
PROD-0000001;10/12/2020 00:00;2020-12-10;12190;11580;80
PROD-0000001;11/12/2020 00:00;2020-12-11;12060;11460;170
PROD-0000001;12/12/2020 00:00;2020-12-12;12140;11430;160
PROD-0000001;13/12/2020 00:00;2020-12-13;12110;11610;50
PROD-0000001;14/12/2020 00:00;2020-12-14;12210;11580;50
PROD-0000001;15/12/2020 00:00;2020-12-15;12060;11460;40
PROD-0000001;16/12/2020 00:00;2020-12-16;11970;11370;200
PROD-0000001;17/12/2020 00:00;2020-12-17;12090;11370;100
PROD-0000001;18/12/2020 00:00;2020-12-18;12280;11750;40
PROD-0000001;19/12/2020 00:00;2020-12-19;12210;11520;260
PROD-0000001;20/12/2020 00:00;2020-12-20;12140;11440;280
PROD-0000001;21/12/2020 00:00;2020-12-21;12000;11360;110
PROD-0000001;22/12/2020 00:00;2020-12-22;12090;11380;300
PROD-0000001;23/12/2020 00:00;2020-12-23;12170;11550;0
PROD-0000001;24/12/2020 00:00;2020-12-24;12050;11440;10
PROD-0000001;25/12/2020 00:00;2020-12-25;12070;11470;230
PROD-0000001;26/12/2020 00:00;2020-12-26;11990;11390;40
PROD-0000001;27/12/2020 00:00;2020-12-27;12020;11420;190
PROD-0000001;28/12/2020 00:00;2020-12-28;12020;11390;230
PROD-0000001;29/12/2020 00:00;2020-12-29;12310;11700;40
PROD-0000001;30/12/2020 00:00;2020-12-30;12310;11690;40
PROD-0000001;31/12/2020 00:00;2020-12-31;12090;11460;210
PROD-0000002;01/01/2020 00:00;2020-01-01;4220;4040;10
PROD-0000002;02/01/2020 00:00;2020-01-02;4220;3980;70
PROD-0000002;03/01/2020 00:00;2020-01-03;4260;4010;10
PROD-0000002;04/01/2020 00:00;2020-01-04;4250;4030;40
PROD-0000002;05/01/2020 00:00;2020-01-05;4230;4030;40
PROD-0000002;06/01/2020 00:00;2020-01-06;4250;4030;50
PROD-0000002;07/01/2020 00:00;2020-01-07;4210;4030;30
PROD-0000002;08/01/2020 00:00;2020-01-08;4220;4040;10
PROD-0000002;09/01/2020 00:00;2020-01-09;4260;4000;10
PROD-0000002;10/01/2020 00:00;2020-01-10;4190;3990;100
PROD-0000002;11/01/2020 00:00;2020-01-11;4210;3990;60
PROD-0000002;12/01/2020 00:00;2020-01-12;4240;4030;10
PROD-0000002;13/01/2020 00:00;2020-01-13;4170;3960;30
PROD-0000002;14/01/2020 00:00;2020-01-14;4240;4030;80
PROD-0000002;15/01/2020 00:00;2020-01-15;4170;3980;0
PROD-0000002;16/01/2020 00:00;2020-01-16;4200;3950;30
PROD-0000002;17/01/2020 00:00;2020-01-17;4230;4020;70
PROD-0000002;18/01/2020 00:00;2020-01-18;4190;3970;100
PROD-0000002;19/01/2020 00:00;2020-01-19;4170;3980;100
PROD-0000002;20/01/2020 00:00;2020-01-20;4200;4010;30
PROD-0000002;21/01/2020 00:00;2020-01-21;4210;3980;70
PROD-0000002;22/01/2020 00:00;2020-01-22;4240;4030;50
PROD-0000002;23/01/2020 00:00;2020-01-23;4180;4010;60
PROD-0000002;24/01/2020 00:00;2020-01-24;4230;3980;80
PROD-0000002;25/01/2020 00:00;2020-01-25;4190;3960;0
PROD-0000002;26/01/2020 00:00;2020-01-26;4140;3970;90
PROD-0000002;27/01/2020 00:00;2020-01-27;4180;3970;30
PROD-0000002;28/01/2020 00:00;2020-01-28;4240;4070;90
PROD-0000002;29/01/2020 00:00;2020-01-29;4160;3960;40
PROD-0000002;30/01/2020 00:00;2020-01-30;4220;3990;80
PROD-0000002;31/01/2020 00:00;2020-01-31;4200;4010;20
PROD-0000002;01/02/2020 00:00;2020-02-01;4250;4050;80
PROD-0000002;02/02/2020 00:00;2020-02-02;4240;4040;40
PROD-0000002;03/02/2020 00:00;2020-02-03;4220;3960;80
PROD-0000002;04/02/2020 00:00;2020-02-04;4170;3960;30
PROD-0000002;05/02/2020 00:00;2020-02-05;4200;4020;80
PROD-0000002;06/02/2020 00:00;2020-02-06;4250;4060;90
PROD-0000002;07/02/2020 00:00;2020-02-07;4160;3960;40
PROD-0000002;08/02/2020 00:00;2020-02-08;4240;4030;100
PROD-0000002;09/02/2020 00:00;2020-02-09;4200;3990;10
PROD-0000002;10/02/2020 00:00;2020-02-10;4210;4000;70
PROD-0000002;11/02/2020 00:00;2020-02-11;4230;4030;100
